Year,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%)
1992,0.204315,0.776495,0.271216,2.858055,0.614821,2.789456,1.363774
1993,0.204511,0.777333,0.270941,2.86232,0.616835,2.798612,1.363347
1994,0.204643,0.777977,0.270595,2.865696,0.618687,2.804571,1.362727
1995,0.204716,0.778427,0.270456,2.868045,0.61947,2.811052,1.362036
1996,0.204561,0.778156,0.270111,2.867485,0.618826,2.813966,1.360321
1997,0.20413,0.777007,0.268695,2.863415,0.616162,2.813494,1.357323
1998,0.20358,0.775456,0.267267,2.85776,0.613257,2.811193,1.353671
1999,0.203078,0.774043,0.266647,2.852612,0.609997,2.808508,1.349972
2000,0.202779,0.773206,0.265819,2.849507,0.607695,2.807252,1.347007
2001,0.202591,0.772781,0.265211,2.847773,0.606053,2.806135,1.342251
2002,0.202354,0.772324,0.264135,2.845685,0.60507,2.803067,1.33429
2003,0.202128,0.771921,0.263512,2.843727,0.605506,2.798702,1.325491
2004,0.201974,0.771648,0.263144,2.842259,0.605727,2.795908,1.318307
2005,0.201954,0.771561,0.262879,2.84141,0.606732,2.793873,1.315288
2006,0.202257,0.772015,0.264239,2.842557,0.606925,2.79352,1.320283
2007,0.202907,0.773124,0.268341,2.846183,0.608181,2.794814,1.332553
2008,0.203701,0.774557,0.272949,2.851054,0.609364,2.797125,1.347515
2009,0.204431,0.775964,0.277657,2.855829,0.610901,2.799687,1.360575
2010,0.20487,0.776924,0.279424,2.858886,0.611652,2.801683,1.36702
2011,0.205073,0.777476,0.280148,2.860414,0.614155,2.803582,1.368464
2012,0.205259,0.778014,0.28096,2.861944,0.617297,2.806173,1.369731
2013,0.205421,0.778534,0.281978,2.863431,0.621057,2.807489,1.37072
2014,0.205533,0.778961,0.28196,2.8646,0.62721,2.810428,1.371305
2015,0.205603,0.779347,0.282251,2.865676,0.633015,2.811889,1.3715
2016,0.205604,0.77962,0.282376,2.866391,0.638995,2.813069,1.371151
2017,0.205537,0.779803,0.28269,2.866789,0.64577,2.814584,1.370216
1990,0.222736,0.5392,0.083484,2.036842,0.615661,2.919093,1.500754
1991,0.223311,0.539395,0.08426,2.03596,0.617621,2.918349,1.505008
1992,0.223929,0.5396,0.085277,2.035157,0.619294,2.91875,1.509042
1993,0.224571,0.539822,0.086063,2.034467,0.621353,2.918466,1.512758
1994,0.225205,0.540044,0.087393,2.033821,0.623611,2.919505,1.515986
1995,0.225797,0.540275,0.088194,2.033583,0.625367,2.919847,1.518523
1996,0.226598,0.540568,0.089382,2.03356,0.628344,2.919639,1.520877
1997,0.227722,0.540984,0.090627,2.034222,0.630889,2.921794,1.523472
1998,0.228974,0.541495,0.091866,2.035245,0.634996,2.925502,1.526313
1999,0.230154,0.542055,0.093638,2.036239,0.637321,2.929882,1.529365
2000,0.23105,0.54262,0.09531,2.037101,0.640989,2.929392,1.532477
2001,0.231831,0.543266,0.096805,2.035679,0.642858,2.929637,1.536203
2002,0.232741,0.544103,0.098532,2.032028,0.644563,2.927853,1.540911
2003,0.233698,0.545031,0.100451,2.027715,0.646827,2.926208,1.546416
2004,0.234611,0.545941,0.101796,2.024291,0.648217,2.924382,1.552511
2005,0.235363,0.546672,0.103511,2.023393,0.649577,2.923107,1.558684
2006,0.236038,0.547208,0.105386,2.023866,0.652337,2.918925,1.576124
2007,0.236773,0.547716,0.107265,2.024573,0.655125,2.91297,1.60935
2008,0.237512,0.548168,0.109161,2.025459,0.657372,2.907162,1.648056
2009,0.238224,0.548607,0.111049,2.026705,0.660234,2.901149,1.682082
2010,0.238863,0.549044,0.113015,2.028608,0.663104,2.896072,1.701023
2011,0.239504,0.549497,0.115109,2.031183,0.666203,2.89142,1.708863
2012,0.24023,0.549977,0.117147,2.034898,0.669358,2.888482,1.716126
2013,0.241026,0.550479,0.119353,2.039645,0.673579,2.884934,1.722689
2014,0.241883,0.551005,0.121583,2.045305,0.677829,2.882767,1.728448
2015,0.242783,0.551548,0.123609,2.051937,0.682933,2.88175,1.733233
2016,0.243709,0.552084,0.126256,2.059037,0.687896,2.879813,1.736929
2017,0.244663,0.552653,0.128466,2.066871,0.693534,2.87945,1.739466
1990,0.246961,0.934072,0.409563,4.724888,1.313166,4.222233,1.199863
1991,0.247287,0.935013,0.412417,4.728535,1.349868,4.228694,1.20473
1992,0.247585,0.935941,0.416556,4.732132,1.385771,4.235766,1.214151
1993,0.247835,0.936804,0.420587,4.735401,1.418488,4.240356,1.227244
1994,0.248024,0.93755,0.42474,4.738113,1.447697,4.244111,1.243333
1995,0.248155,0.938196,0.428487,4.740407,1.470004,4.24647,1.261737
1996,0.248192,0.938633,0.433285,4.741018,1.492655,4.245148,1.288329
1997,0.248162,0.938958,0.439184,4.740333,1.51607,4.23964,1.325699
1998,0.248111,0.939235,0.445831,4.739079,1.539475,4.232548,1.36808
1999,0.248077,0.939441,0.452423,4.737734,1.559278,4.224584,1.409836
2000,0.248118,0.939679,0.457765,4.737446,1.575997,4.214587,1.445339
2001,0.24839,0.939435,0.463624,4.739795,1.592996,4.199707,1.477338
2002,0.248924,0.938575,0.470157,4.745525,1.616679,4.174793,1.510403
2003,0.249566,0.937549,0.476988,4.752576,1.639149,4.147932,1.541963
2004,0.250154,0.936771,0.482381,4.758931,1.653773,4.120989,1.569145
2005,0.250523,0.93668,0.486747,4.762628,1.656305,4.101882,1.588979
