Year,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%)
1991,0.249386,1.086215,0.452755,4.578463,1.498285,4.255942,1.438431
1992,0.249538,1.086838,0.456267,4.586816,1.526338,4.248149,1.463424
1993,0.249694,1.087485,0.460031,4.594153,1.551576,4.241936,1.48611
1994,0.249846,1.088124,0.464176,4.59992,1.573221,4.237369,1.506031
1995,0.249984,1.088725,0.46844,4.603623,1.59005,4.234785,1.522711
1996,0.250124,1.089321,0.473684,4.608514,1.606621,4.235221,1.537237
1997,0.250318,1.090115,0.48044,4.617368,1.626839,4.238198,1.55169
1998,0.250532,1.090971,0.487665,4.627133,1.6478,4.241218,1.566621
1999,0.250731,1.091746,0.494459,4.634767,1.665982,4.24282,1.58265
2000,0.250877,1.092287,0.499484,4.637154,1.678271,4.240516,1.600301
2001,0.251084,1.091455,0.503814,4.635677,1.68962,4.222042,1.621381
2002,0.251466,1.089123,0.508367,4.63484,1.705168,4.185712,1.646296
2003,0.251913,1.086323,0.512873,4.634631,1.721648,4.143342,1.67351
2004,0.252309,1.084083,0.516996,4.635012,1.73574,4.10606,1.701301
2005,0.252526,1.083398,0.520255,4.635823,1.74398,4.085993,1.727773
2006,0.252498,1.083777,0.523895,4.639652,1.749488,4.085044,1.761617
2007,0.252363,1.084237,0.528684,4.648012,1.756063,4.094588,1.806324
2008,0.25223,1.084667,0.533491,4.657663,1.761566,4.108739,1.852339
2009,0.252212,1.084992,0.53752,4.665486,1.763232,4.121572,1.889701
2010,0.252417,1.085132,0.53972,4.668295,1.75812,4.126807,1.908482
2011,0.252932,1.085113,0.540522,4.666826,1.748545,4.12623,1.913856
2012,0.253794,1.085202,0.541501,4.664757,1.738032,4.126116,1.917394
2013,0.254993,1.085365,0.542215,4.662206,1.726078,4.125825,1.918905
2014,0.256523,1.085616,0.542871,4.659356,1.713007,4.125316,1.918018
2015,0.25837,1.08595,0.543274,4.656279,1.698364,4.124435,1.914363
2016,0.260519,1.08636,0.543352,4.653107,1.682097,4.122485,1.907524
2017,0.262952,1.086838,0.543054,4.649861,1.664,4.119524,1.897052
1990,0.340897,0.653706,0.468676,6.576884,2.367794,4.677591,2.173751
1991,0.338913,0.653953,0.473575,6.553351,2.345466,4.660871,2.139292
1992,0.337343,0.654205,0.47861,6.536143,2.339515,4.651949,2.107931
1993,0.336207,0.654431,0.483539,6.525536,2.347095,4.648701,2.080669
1994,0.335536,0.65462,0.488235,6.522278,2.365738,4.649294,2.058632
1995,0.335363,0.654721,0.492368,6.526489,2.392582,4.650869,2.042931
1996,0.335806,0.654749,0.496752,6.578023,2.456048,4.662902,2.033987
1997,0.336797,0.65472,0.50156,6.688847,2.564591,4.689154,2.03059
1998,0.338085,0.654658,0.506483,6.818473,2.688823,4.720716,2.031176
1999,0.33941,0.654564,0.511072,6.926351,2.800595,4.749991,2.034175
2000,0.340512,0.654443,0.514863,6.971563,2.869426,4.766992,2.038026
2001,0.341186,0.654371,0.518306,6.971995,2.905605,4.774031,2.043577
2002,0.341483,0.654349,0.52217,6.971891,2.936109,4.778244,2.05148
